COUNTA of TYPE,NEIGHBOURHOOD,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,Arbutus Ridge,Central Business District,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Musqueam,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Stanley Park,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Arbutus Growth %
1999,8,220,18,88,72,37,40,9,17,53,32,54,2,14,63,22,14,17,11,39,43,27,98,12,
2000,11,183,19,81,67,35,69,14,21,51,17,54,1,11,56,27,12,6,17,47,34,29,88,14,
2001,9,165,17,66,60,34,50,19,13,64,32,52,1,13,59,24,13,12,5,42,37,27,77,14,
2002,7,170,10,50,56,34,42,15,24,56,19,52,5,10,44,18,11,5,8,33,42,22,75,11,
2003,6,168,4,52,42,29,34,5,19,38,20,34,,9,38,16,4,3,3,34,37,10,65,8,
2004,7,173,7,43,33,20,29,8,11,37,10,51,,10,26,14,4,6,3,32,24,12,76,2,
2005,6,142,3,35,30,21,40,4,19,43,22,31,,8,27,16,8,9,9,23,26,14,53,4,
2006,9,130,10,35,34,16,31,11,11,28,6,33,,10,36,14,7,3,4,29,28,14,40,8,
2007,6,135,6,30,34,23,36,2,19,31,14,34,1,10,32,18,4,2,6,27,17,14,55,7,
2008,7,110,17,41,23,29,22,12,13,28,16,32,1,13,31,22,5,2,5,25,16,6,39,8,
2009,7,124,6,37,40,23,33,6,12,22,12,39,1,10,25,20,2,8,5,27,26,7,40,5,
2010,9,145,3,43,32,22,32,4,9,21,20,61,1,9,30,19,8,8,6,27,23,10,60,11,
2011,12,170,17,42,34,24,33,12,10,33,14,61,1,18,33,14,3,18,3,29,22,10,37,10,
2012,8.36,127.14,7.48,27.59,21.89,18.97,22.38,4.88,9.29,17.08,11.97,44.68,0.77,12.35,21.53,15.45,2.14,8.97,2.71,21.5,16.44,3.65,32.27,6.36,-0.3033333333
2013,8.42,123.43,7.11,24.72,19.04,17.91,20.04,4.19,8.4,13.91,11.22,44.71,0.65,12.57,19.24,14.98,1.43,9.3,2.18,20,14.71,1.97,28.2,6.03,0.007177033493
2014,8.47,119.72,6.74,21.85,16.19,16.86,17.7,3.51,7.51,10.74,10.47,44.74,0.53,12.79,16.95,14.51,0.72,9.63,1.65,18.5,12.98,0.29,24.13,5.7,0.00593824228
2015,8.53,116.01,6.36,18.98,13.34,15.8,15.36,2.82,6.62,7.57,9.72,44.77,0.41,13.01,14.66,14.04,0.01,9.96,1.12,17,11.26,-1.39,20.05,5.37,#VALUE!
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"If negative → ""Declining""",,
,,,,,,,,,,,,,,,,,,,,,,,"If positive → ""Increasing""",,
,,,,,,,,,,,,,,,,,,,,,,,"If near 0 → ""Stable",,
,,,,,,,,,,,,,,,,,,,,,,,Arbutus Trend:,0.05594405594,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,bro ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Forecast Interpretation,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Central Business District shows a gradual declining trend over the forecast period.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Arbutus Ridge remains relatively stable with minor fluctuations.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Mount Pleasant shows slight stabilization after earlier variations,,,,,,,,,,,,,,,,